ticker,year,quarter,total_word_count,neg,neu,pos,compound
SWKS,2022,q1,5408,0.013799435,0.794847458,0.191358757,0.266350282
CVS,2022,q1,7238,0.011253927,0.823172775,0.165575916,0.294958115
VNO,2022,q1,8400,0.014297009,0.881848291,0.10384188,0.185106197
BMY,2022,q1,8107,0.012446894,0.816973948,0.17058517,0.266372545
LVS,2022,q1,4458,0.021879765,0.787234604,0.190891496,0.206732845
PNC,2022,q1,4522,0.020271777,0.801278746,0.178445993,0.195667596
EOG,2022,q1,7992,0.014785,0.8098575,0.175355,0.34054475
COST,2022,q1,8578,0.018248497,0.862933868,0.118815631,0.194407214
IR,2022,q1,7544,0.010422122,0.785575621,0.204004515,0.297020316
DVN,2022,q1,8165,0.014614191,0.820962306,0.164423503,0.287991131
TDG,2022,q1,6595,0.019783599,0.807070615,0.173150342,0.194408428
RMD,2022,q1,10503,0.02399639,0.795601083,0.180398917,0.265795126
PLD,2022,q1,8054,0.02351497,0.858077844,0.118403194,0.184901198
IDXX,2022,q1,7992,0.015720513,0.788407692,0.195882051,0.40078641
ECL,2022,q1,9183,0.015493359,0.792648956,0.191855787,0.292276091
ADM,2022,q1,6814,0.025490667,0.792376,0.182133333,0.2559976
ZION,2022,q1,7454,0.019894988,0.823439141,0.156661098,0.246301671
ENPH,2022,q1,10598,0.016166909,0.830159652,0.15367344,0.21378897
MKC,2022,q1,8396,0.029396624,0.821662447,0.148934599,0.204410338
ORCL,2022,q1,4150,0.013939623,0.860411321,0.12565283,0.196346792
TXT,2022,q1,5495,0.017322086,0.822395706,0.160285276,0.206963497
FSLR,2022,q1,9261,0.030490476,0.855188095,0.11432381,0.164287857
TECH,2022,q1,7560,0.015344444,0.855037778,0.129615556,0.237914222
JNJ,2022,q1,8086,0.00934186,0.817413953,0.173255814,0.317258372
BSX,2022,q1,7749,0.016823671,0.810567633,0.172599034,0.274178502
PPL,2022,q1,3936,0.009548246,0.786578947,0.203850877,0.311347807
PAYC,2022,q1,5964,0.012907591,0.832240924,0.154854785,0.2682967
HAL,2022,q1,6607,0.016835859,0.844138889,0.139022727,0.228373737
WELL,2022,q1,9709,0.019223529,0.849884314,0.130892157,0.223526275
SEE,2022,q1,7516,0.008718954,0.844867102,0.14640305,0.239923529
GD,2022,q1,5977,0.021484694,0.828732143,0.149785714,0.204109439
WRK,2022,q1,8506,0.014236948,0.811604418,0.174154618,0.282137149
TMO,2022,q1,7596,0.011276008,0.786144374,0.202575372,0.32172845
FRC,2022,q1,8017,0.010313576,0.811126195,0.178552581,0.28149522
AXP,2022,q1,8070,0.012146465,0.842820707,0.145027778,0.298609596
CVX,2022,q1,7273,0.023185501,0.849682303,0.127144989,0.134837313
HBAN,2022,q1,8249,0.012726214,0.781380583,0.205899029,0.308597476
AIG,2022,q1,8345,0.035527473,0.826107143,0.138373626,0.232624176
OKE,2022,q1,4434,0.013929461,0.833539419,0.15253112,0.27736971
CLX,2022,q1,5712,0.021075472,0.817018868,0.16190027,0.178807008
BBY,2022,q1,8842,0.016773672,0.79908776,0.18412933,0.338049192
CPT,2022,q1,9206,0.025650728,0.848345114,0.125997921,0.162210395
BIIB,2022,q1,7233,0.017736597,0.836689977,0.145573427,0.213651282
LNT,2022,q1,5070,0.009348276,0.7882,0.202448276,0.271635517
ADSK,2022,q1,7616,0.012089372,0.825956522,0.161956522,0.287852899
MMM,2022,q1,8945,0.023109195,0.825247126,0.1516341,0.220602682
INTC,2022,q1,8205,0.015531323,0.836605568,0.147856148,0.261100464
VICI,2022,q1,6827,0.016612613,0.828507508,0.15487988,0.25787027
MA,2022,q1,8799,0.015117647,0.842207843,0.142678431,0.245567451
ON,2022,q1,7144,0.02065051,0.809130102,0.170229592,0.234815051
